,"Inflation Rate"
"1961",-0.39
"1962",0.13
"1963",0.04
"1964",0.04
"1965",0.31
"1966",1.43
"1967",-0.25
"1968",1.5
"1969",1.19
"1970",0.38
"1971",-1.55
"1972",-1.02
"1973",2.91
"1974",4.87
"1975",-1.91
"1976",-3.4
"1977",0.76
"1978",1.13
"1979",3.62
"1980",2.3
"1981",-3.22
"1982",-4.2
"1983",-2.92
"1984",1.09
"1985",-0.75
"1986",-1.65
"1987",1.76
"1988",0.42
"1989",0.75
"1990",0.57
"1991",-1.16
"1992",-1.21
"1993",-0.08
"1994",-0.34
"1995",0.2
"1996",0.12
"1997",-0.59
"1998",-0.79
"1999",0.64
"2000",1.19
"2001",-0.55
"2002",-1.24
"2003",0.68
"2004",0.41
"2005",0.71
"2006",-0.16
"2007",-0.38
"2008",0.99
"2009",-4.2
"2010",2
"2011",1.52
"2012",-1.09
"2013",-0.61
"2014",0.16
"2015",-1.5
"2016",1.14
"2017",0.87
"2018",0.31
"2019",-0.63
"2020",-0.58
"2021",3.47
"2022",3.3
"2023",-3.88
